#format table ## [Custom WaveView] saved 17:22:00 Thu Dec  5 2024
TIME ,v(bit0) ,v(bit1) ,v(bit2) ,v(bit3) ,v(bit4) ,v(bit5) ,v(bit6) ,v(bit7) 
 2.625E-08 , 1.708E+00 , 1.069E-02 , 7.388E-05 , 4.090E-03 , 1.800E+00 , 1.800E+00 , 1.708E+00 , 2.813E-02 
 2.650E-08 ,-9.323E-05 , 1.800E+00 , 5.460E-05 , 7.118E-05 , 4.095E-03 , 1.800E+00 , 1.749E+00 , 1.796E+00 
 2.675E-08 , 1.695E+00 , 1.700E+00 , 3.649E-05 , 5.467E-05 , 7.124E-05 , 4.093E-03 , 1.701E+00 , 4.314E-02 
 2.700E-08 ,-7.639E-05 , 1.744E+00 , 1.799E+00 , 3.085E-05 , 5.461E-05 , 6.940E-05 ,-1.172E-04 , 1.796E+00 
 2.725E-08 , 1.791E+00 , 1.800E+00 , 5.481E-03 , 1.799E+00 , 3.093E-05 , 5.317E-05 ,-1.208E-04 , 1.800E+00 
 2.750E-08 , 1.800E+00 , 1.378E-04 , 7.058E-05 , 3.813E-03 , 1.799E+00 , 2.944E-05 ,-1.086E-04 , 1.800E+00 
 2.775E-08 , 1.800E+00 ,-2.500E-04 , 1.799E+00 , 4.676E-05 , 3.821E-03 , 1.799E+00 ,-9.200E-05 , 1.800E+00 
 2.800E-08 , 1.800E+00 ,-1.235E-04 , 1.800E+00 , 1.799E+00 , 4.677E-05 , 3.826E-03 , 1.786E+00 , 1.801E+00 
 2.825E-08 , 1.706E+00 , 9.305E-03 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 4.916E-05 , 7.973E-03 , 2.269E-02 
 2.850E-08 , 2.684E-02 , 1.766E+00 , 4.055E-03 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 3.812E-04 , 1.520E-03 
 2.875E-08 , 4.617E-04 , 3.123E-02 , 1.799E+00 , 4.017E-03 , 1.800E+00 , 1.800E+00 , 1.765E+00 , 1.296E-03 
 2.900E-08 ,-2.182E-03 ,-2.303E-03 , 3.864E-03 , 1.799E+00 , 4.017E-03 , 1.800E+00 , 1.732E+00 , 1.795E+00 
 2.925E-08 , 1.688E+00 , 1.688E+00 , 1.799E+00 , 3.784E-03 , 1.799E+00 , 4.014E-03 , 1.687E+00 , 6.225E-02 
 2.950E-08 ,-1.159E-04 , 1.755E+00 , 1.800E+00 , 1.799E+00 , 3.784E-03 , 1.799E+00 ,-1.224E-04 , 1.797E+00 
 2.975E-08 , 1.793E+00 , 1.800E+00 , 5.086E-03 , 1.800E+00 , 1.799E+00 , 3.788E-03 , 1.794E+00 , 1.801E+00 
 3.000E-08 , 1.706E+00 , 1.072E-02 , 7.375E-05 , 4.013E-03 , 1.800E+00 , 1.799E+00 , 7.995E-03 , 2.156E-02 
 3.025E-08 , 2.664E-02 , 1.769E+00 , 4.351E-05 , 7.094E-05 , 4.017E-03 , 1.800E+00 , 1.768E+00 , 4.086E-03 
